City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,smarhon,54.4791,26.3934,14.02,90,100,2.02,BY,1690145865
260,bredasdorp,-34.5322,20.0403,9.72,79,63,2.53,ZA,1690145146
261,saudarkrokur,65.7461,-19.6394,10.22,97,100,0.37,IS,1690145389
262,gadzhiyevo,69.2551,33.3362,8.67,89,100,6.13,RU,1690145385
263,fale old settlement,-9.3852,-171.2468,28.38,77,21,6.1,TK,1690145378
264,sao vicente,-23.9631,-46.3919,28.1,49,2,1.03,BR,1690145867
265,maun,-19.9833,23.4167,11.98,47,6,0.51,BW,1690145867
266,itumbiara,-18.4192,-49.2153,25.34,34,0,1.4,BR,1690145867
267,redencao,-4.2258,-38.7306,25.22,70,78,2.43,BR,1690145868
268,tahe,52.3333,124.7333,16.29,70,100,1.15,CN,1690145868
269,armidale,-30.5167,151.65,2.11,98,27,2.49,AU,1690145868
270,shancheng,34.7953,116.0817,25.64,75,1,2.47,CN,1690145869
271,cienaga,11.007,-74.2476,33.02,62,20,3.09,CO,1690145869
272,flying fish cove,-10.4217,105.6791,23.82,88,100,5.14,CX,1690145012
273,east london,-33.0153,27.9116,14.66,71,100,7.2,ZA,1690145051
274,al bawiti,28.3492,28.8659,31.89,26,0,5.25,EG,1690145870
275,mil'kovo,55.6078,37.7956,15.22,93,84,2.96,RU,1690145870
276,gemena,3.25,19.7667,21.91,96,76,1.81,CD,1690145870
277,alofi,-19.0595,-169.9187,23.94,69,40,6.69,NU,1690145160
278,kharp,66.8014,65.8081,15.56,93,99,2.56,RU,1690145871
279,tual,-5.6667,132.75,25.15,78,100,11.23,ID,1690145871
280,anadyr,64.75,177.4833,14.28,76,75,3.0,RU,1690145349
281,elva,58.2225,26.4211,13.08,91,100,2.06,EE,1690145872
282,bengkulu,-3.8004,102.2655,23.97,94,99,3.46,ID,1690145313
283,kirensk,57.7853,108.1119,15.85,81,95,0.46,RU,1690145873
284,ar ruways,24.1103,52.7306,32.35,78,100,3.36,AE,1690145873
285,sosnovo-ozerskoye,52.5249,111.5418,9.98,90,19,2.77,RU,1690145873
286,kidal,18.4411,1.4078,36.72,26,15,3.32,ML,1690145751
287,tahoua,14.8888,5.2692,33.99,49,40,4.12,NE,1690145874
288,vernon,50.2581,-119.2691,33.75,21,5,1.54,CA,1690145413
289,sandviken,60.6167,16.7667,14.2,78,85,1.84,SE,1690145875
290,kangundo,-1.2979,37.3471,14.19,90,44,1.19,KE,1690145875
291,shihezi,44.3,86.0333,28.92,27,100,3.39,CN,1690145875
292,puerto baquerizo moreno,-0.9,-89.6,26.55,83,75,3.6,EC,1690145298
293,vytegra,61.0064,36.4481,12.5,87,16,3.79,RU,1690145876
294,puerto deseado,-47.7503,-65.8938,2.69,68,94,5.86,AR,1690145428
295,sitka,57.0531,-135.33,13.94,94,100,3.6,US,1690145278
296,road town,18.4167,-64.6167,31.05,62,20,5.14,VG,1690145469
297,augusto correa,-1.0217,-46.635,26.09,79,81,2.53,BR,1690145877
298,boguchany,58.3814,97.4531,15.91,80,25,0.91,RU,1690145453
